code,name,altname,label,x,y
E05001146,Monkton,,E05001146,432292.891168057,564060.87731719
E05001947,Keynsham North,,E05001947,364467.731679188,169086.572388603
E05004474,Holybourne and Froyle,,E05004474,472193.448906112,142915.448285463
E05003502,St David's,,E05003502,291786.258304303,92706.4053063989
E05003260,Kendal Underley,,E05003260,350913.79092141,493904.925674246
E05004158,Lambourne,,E05004158,547802.728881953,195880.068072962
E05004959,Sandwich,,E05004959,633173.446721841,158117.797117485
E05002190,Werrington North,,E05002190,516459.945171781,304394.291512911
E05005269,Whitefield,,E05005269,385344.990939195,437691.605707858
E05006472,Clipstone,,E05006472,459513.797060615,364419.732053921
E05005496,Bottesford,,E05005496,481038.192044086,338781.661680959
E05003187,Egremont North,,E05003187,299975.044136304,513109.41769222
E05003986,Alfriston,,E05003986,551027.122096407,106593.272389616
E05008757,Eastcotts,,E05008757,508536.481235478,245422.831686222
E05006307,Norton West,,E05006307,478516.772807147,469784.487487822
E05003926,St Anthony's,,E05003926,562433.820468004,101724.627536092
E05003127,Harrington,,E05003127,301715.859750281,525761.841959377
E05005388,Catterall,,E05005388,348271.981887176,442882.288941413
E05001120,Cullercoats,,E05001120,435685.274413379,570792.764194033
E05008204,Bude North and Stratton,,E05008204,221886.912862617,106277.206760699
E05008606,Weston-super-Mare East,,E05008606,334355.633314759,160808.322750515
E05003536,Braunton East,,E05003536,250908.681255556,138402.900086528
E05000257,Munster,,E05000257,524282.896780102,176998.16483681
E05008357,Devizes and Roundway South,,E05008357,400170.516754297,160417.48102118
E05008378,Mere,,E05008378,380646.061688141,133483.581404146
E05000904,Old Swan,,E05000904,339165.444132416,391161.183885184
E05000105,Willesden Green,,E05000105,522490.31401032,184434.716029177
E05008358,Devizes East,,E05008358,401455.726418884,161251.558352825
E05005934,Oakley Vale,,E05005934,487968.229464694,286749.22531845
E05005135,Frittenden and Sissinghurst,,E05005135,580778.508545193,139377.186605232
E05005781,Thorpe St Andrew North West,,E05005781,626486.219399917,309865.902724498
E05006873,Taunton Halcon,,E05006873,324559.050075245,125028.153182341
E05008351,Chippenham Pewsham,,E05008351,392816.639962683,171374.503665831
E05007509,Ryton-on-Dunsmore,,E05007509,438464.318463056,273768.617859699
E05007245,Southwold and Reydon,,E05007245,649473.380079046,277579.430416747
E05000371,Finsbury Park,,E05000371,530857.546574966,186455.196914069
E05008703,Winnington and Castle,,E05008703,365373.478134074,374087.965803053
E05000486,Green Street West,,E05000486,540776.939327521,184298.418011007
E05000071,Crayford,,E05000071,551699.79775368,174942.744686221
E05000870,Longview,,E05000870,345004.298944651,392985.698414403
E05007422,Farnham Hale and Heath End,,E05007422,484676.906232581,149159.745811476
E05004688,Theobalds,,E05004688,536080.68612324,201431.181737308
E05008741,Meir North,,E05008741,393879.663095432,342640.754917918
E05005503,Melton Egerton,,E05005503,473679.186673538,319395.868318565
E05001636,Roe Lee,,E05001636,368589.428711494,430604.403530141
E05000075,Erith,,E05000075,550730.00024503,178807.556227384
E05000874,Prescot East,,E05000874,347009.778917493,392156.893639438
E05007603,Boxgrove,,E05007603,489127.796878709,112447.279192207
E05004250,Pier,,E05004250,617577.718116173,214950.980480596
E05000727,Hollinwood,,E05000727,391366.633803024,402477.304428978
E05004698,Berkhamsted East,,E05004698,499651.450325994,206512.312056915
E05005547,Kirton,,E05005547,532482.642852867,337387.339043265
E05005140,Pantiles and St Mark's,,E05005140,558651.126224322,138139.099383166
E05007270,Weston Green,,E05007270,514859.043312873,166360.732327764
E05005941,Abbey North,,E05005941,456521.084852876,264144.822585049
E05008154,Clee,,E05008154,357630.974545017,274102.839117609
E05003740,Bridport North,,E05003740,346930.485225291,93539.1488515869
E05004572,Hart Plain,,E05004572,468258.571812488,111403.6121648
E05008347,Chippenham Hardenhuish,,E05008347,391509.492636376,174468.254442965
E05007960,Barnard Castle West,,E05007960,393772.513398343,520746.292012956
E05001403,Heckmondwike,,E05001403,421488.465608584,423281.412285764
E05007161,Woolpit,,E05007161,598228.550613091,261647.322495475
E05004823,Chorleywood West,,E05004823,502502.214212433,195923.028976842
E05004022,Billericay West,,E05004022,566979.506757322,196243.724346188
E05003616,Bideford East,,E05003616,249588.902577074,124221.059202565
E05006254,Mashamshire,,E05006254,417235.695572576,479437.732604903
E05007955,Annfield Plain,,E05007955,416480.800175051,551832.092728539
E05008209,Camborne North,,E05008209,164571.18517561,42799.0753837915
E05007154,Stowmarket North,,E05007154,605127.583321502,259079.339283556
E05004675,Whiteley,,E05004675,453636.70101462,109433.833397712
E05000523,Heathfield,,E05000523,513240.454932375,173405.528542214
E05000467,Pollards Hill,,E05000467,529460.013408254,168212.753443723
E05003518,Cullompton South,,E05003518,301625.401637991,106922.067181389
E05001316,St Matthew's,,E05001316,402155.79400386,298737.346351703
E05007512,Aston Cantlow,,E05007512,414076.368700279,258901.188656734
E05001079,Lobley Hill and Bensham,,E05001079,424286.62409777,560694.029868902
E05001310,Paddock,,E05001310,403306.084726584,297233.052901862
E05001878,Tupsley,,E05001878,352632.609750962,239521.268030162
E05006404,Beeston Central,,E05006404,453470.972668891,336956.880617189
E05000779,Bramhall North,,E05000779,389572.870162071,386086.956997948
E05007441,Byfleet,,E05007441,506306.596800496,160831.83700835
E05000030,Eastbrook,,E05000030,550789.999356521,186098.735372871
E05000831,Hale Central,,E05000831,377480.546796733,386804.73481617
E05008325,St. Mary's,,E05008325,91548.9880376853,11162.7889653745
E05008816,Midway,,E05008816,430498.309753024,320866.304046779
E05008017,Woodhouse Close,,E05008017,420485.742729402,528130.36675259
E05006902,Brereton and Ravenhill,,E05006902,404957.652337196,316362.268939998
E05002217,Leigh,,E05002217,584178.071465164,185322.950793258
E05002409,Middleton,,E05002409,489017.714761937,238927.161349883
E05006296,Swaledale,,E05006296,394708.002814485,499564.285494787
E05004551,Crondall,,E05004551,480088.723369019,149526.933745527
E05006035,Danvers and Wardoun,,E05006035,451094.363395405,247930.454493987
E05004975,Riverside,,E05004975,566234.262554268,174136.131064065
E05004174,Waltham Abbey High Beach,,E05004174,540483.76410257,198813.170276895
E05006834,Eggwood,,E05006834,343170.691677256,112513.176335031
E05008921,Dunster and Timberscombe,,E05008921,296798.786616222,142467.23825441
E05005671,Forest,,E05005671,488836.515134206,332012.158769352
E05000418,Clapham Common,,E05000418,529347.225882717,174674.72201238
E05007494,Bilton,,E05007494,448699.140053814,273219.304905107
E05000851,Ince,,E05000851,359540.334620378,404857.646861842
