Code,New code,Area name,Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",% of largest migrant population (2011),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Employment rate (%) (2015),Male employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,Modelled Household median income estimates 2012/13,% of employment that is in public sector (2014),Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000011,E09000011,Greenwich,59.2,35,21.9,67.7,10.4,5.1,16.9,"7,002",37.6,72.1,77.9,8.1,5.4,9.5,10.6,42.2,"£35,350",27.3,72.7,79.4,11.9,340000,1296.18,1720,19.2,26.9,34.2,19.7,34.4,1014,34.3,78185,0.8,7.7,58.8,78,44.1,17.1,79,82.5,28.1,7.2,7.6,7.2,3.4,27.7,6.1,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000012,E09000012,Hackney,144.0,33.1,20.7,72.1,7.2,3.6,24.1,"8,927",46.0,69,72.8,5.9,4.8,10.7,10.8,49.2,"£35,140",18.1,76.8,99.6,11.5,485000,1294.42,830,11.1,19.8,45.4,23.3,23.2,813,25.3,41800,0.4,25.2,60.6,53,44.2,19.7,78.5,83.3,24.7,7.0,7.3,7.0,3.8,27.0,5.8,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000013,E09000013,Hammersmith and Fulham,113.0,35.7,17.4,72.3,10.3,2.7,22.7,"9,256",71.4,77.5,80.9,4.7,2.2,8.4,4.9,67.5,"£43,820",16.4,73.4,113.2,12.2,730000,1003.81,370,19.1,21.8,25.9,33.1,19.1,809,20.7,43843,0.5,20.1,60.5,58,48.9,16.1,79.7,84.1,22.4,7.4,7.5,7.2,3.1,21.3,4.4,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000014,E09000014,Haringey,93.9,35.1,20,70.7,9.3,4.3,29.7,"15,144",78.5,71.3,77.6,5.7,5.6,9.7,8.8,49.2,"£35,420",17.8,74.4,90.2,12.3,432500,1484.01,240,18.0,24.7,33.4,23.9,25.5,773,37.3,61515,0.6,14.1,59.7,67,48.0,16.9,80.1,84.9,22.6,7.2,7.5,7.2,3.2,23.8,5.9,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000015,E09000015,Harrow,50.0,38.3,20.5,64.5,15,9.0,28.5,"10,427",65.4,73.9,83.1,4.6,2.4,5.4,4.2,47.9,"£38,880",14.5,76.5,50.4,9.8,396150,1559.61,910,33.5,32.8,8.9,24.6,34.6,748,45.1,100326,1.2,8.3,66.4,32,57.6,9.1,82.7,86.1,11,7.3,7.4,7.3,2.7,20.2,8.5,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000016,E09000016,Havering,22.6,40.3,19.3,62.3,18.4,1.1,4.6,"2,642",17.0,76.5,81.3,5.3,3.3,7.0,10.5,26,"£36,670",20.7,75.3,62.9,12.9,287500,1543.64,1010,35.2,33.9,17.2,13.8,59.3,1032,32.4,117634,1.2,7.8,59.8,42,38.9,12.6,80.2,83.9,22.8,7.4,7.7,7.2,3.3,21.8,5.9,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000017,E09000017,Hillingdon,26.0,36.4,21.3,65.6,13.1,5.7,18.8,"6,993",35.8,73.2,80.7,5.8,2.5,6.5,8.7,40.2,"£37,040",11.4,75.0,76.6,14.7,350000,1388.93,710,22.2,33.0,16.6,28.2,49.2,1713,43.8,122486,1.2,12.3,62.0,49,29.6,12.3,80.4,83.9,20.5,7.4,7.7,7.3,3.5,21.1,6.4,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000018,E09000018,Hounslow,49.0,35.8,21.1,67.6,11.3,10.7,28.7,"11,336",62.4,74.2,84.7,4.3,2.9,6.1,6.5,45.5,"£35,330",11.7,76.2,79.2,12.1,355000,1355.77,480,25.5,27.0,19.2,28.3,39.6,1277,34.5,94042,1.0,16.0,63.2,45,50.6,13.5,80,83.9,25,7.3,7.6,7.4,3.4,24.1,6.5,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000019,E09000019,Islington,155.6,34.8,15.9,75.3,8.8,2.8,19.9,"9,302",54.3,72.6,78.2,4.5,4.5,10.5,6.2,62.7,"£39,790",14.5,72.5,121.2,13.9,583000,1296.15,1030,15.4,23.5,35.3,25.5,12.4,878,32.8,38629,0.4,21.4,59.9,88,57.6,23.4,79,83.5,20.2,7.2,7.4,7.1,3.7,22.8,5.0,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000020,E09000020,Kensington and Chelsea,131.1,39.3,16.4,69.3,14.3,5.0,28.0,"7,237",66.2,68.2,76.3,4.2,3.4,7.2,5.2,65.2,"£55,620",14.7,74.5,120.9,12.7,1200000,1058.58,380,22.6,15.1,29.1,33.1,15.1,1154,25.3,44536,0.6,16.9,68.7,37,45.8,11.0,83.3,86.4,14.2,7.6,7.8,7.6,3.1,18.6,4.2,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
